Date,FUTY
2014-05-29,21.11147117614746
2014-05-30,21.279626846313477
2014-06-02,21.249055862426758
2014-06-03,21.310203552246094
2014-06-04,21.30255889892578
2014-06-05,21.524221420288086
2014-06-06,21.46307945251465
2014-06-09,21.33313751220703
2014-06-10,21.279626846313477
2014-06-11,21.0350341796875
2014-06-12,21.088537216186523
2014-06-13,21.203189849853516
2014-06-16,21.356063842773438
2014-06-17,21.33313751220703
2014-06-18,21.753528594970703
2014-06-19,21.92168426513672
2014-06-20,21.81311798095703
2014-06-23,21.774621963500977
2014-06-24,21.805423736572266
2014-06-25,21.928611755371094
2014-06-26,21.959413528442383
2014-06-27,22.06720733642578
2014-06-30,22.236602783203125
2014-07-01,22.059507369995117
2014-07-02,21.620634078979492
2014-07-03,21.397336959838867
2014-07-07,21.482038497924805
2014-07-08,21.628328323364258
2014-07-09,21.574434280395508
2014-07-10,21.69762420654297
2014-07-11,21.54363441467285
2014-07-14,21.304946899414062
2014-07-15,21.389638900756836
2014-07-16,21.428138732910156
2014-07-17,21.243345260620117
2014-07-18,21.474336624145508
2014-07-21,21.43583869934082
2014-07-22,21.405040740966797
2014-07-23,21.405040740966797
2014-07-24,21.45123863220215
2014-07-25,21.251049041748047
2014-07-28,21.559030532836914
2014-07-29,21.374242782592773
2014-07-30,21.03545379638672
2014-07-31,20.696670532226562
2014-08-01,20.781368255615234
2014-08-04,20.665874481201172
2014-08-05,20.41178321838379
2014-08-06,20.18079376220703
2014-08-07,20.373291015625
2014-08-08,20.750568389892578
2014-08-11,20.71207046508789
2014-08-12,20.68897247314453
2014-08-13,20.789060592651367
2014-08-14,20.97385597229004
2014-08-15,21.08934783935547
2014-08-18,21.043153762817383
2014-08-19,21.289546966552734
2014-08-20,21.358840942382812
2014-08-21,21.397336959838867
2014-08-22,21.374242782592773
2014-08-25,21.458938598632812
2014-08-26,21.258747100830078
2014-08-27,21.474336624145508
2014-08-28,21.582134246826172
2014-08-29,21.751522064208984
2014-09-02,21.559030532836914
2014-09-03,21.651430130004883
2014-09-04,21.636024475097656
2014-09-05,21.905519485473633
2014-09-08,21.78232765197754
2014-09-09,21.53592872619629
2014-09-10,21.443540573120117
2014-09-11,21.620634078979492
2014-09-12,21.220247268676758
2014-09-15,21.243345260620117
2014-09-16,21.512834548950195
2014-09-17,21.43583869934082
2014-09-18,21.289546966552734
2014-09-19,21.45301055908203
2014-09-22,21.320674896240234
2014-09-23,21.21170425415039
2014-09-24,21.126075744628906
2014-09-25,21.00153160095215
2014-09-26,21.040454864501953
2014-09-29,21.157211303710938
2014-09-30,21.1883544921875
2014-10-01,21.27397346496582
2014-10-02,21.250627517700195
2014-10-03,21.398521423339844
2014-10-06,21.367387771606445
2014-10-07,21.351821899414062
2014-10-08,21.811080932617188
2014-10-09,21.46078872680664
2014-10-10,21.54642105102539
2014-10-13,21.554208755493164
2014-10-14,21.748804092407227
2014-10-15,21.45301055908203
2014-10-16,21.49971580505371
2014-10-17,21.6242618560791
2014-10-20,21.935626983642578
2014-10-21,22.04460334777832
2014-10-22,22.18471336364746
2014-10-23,22.20806884765625
2014-10-24,22.426025390625
2014-10-27,22.387104034423828
2014-10-28,22.57392692565918
2014-10-29,22.457168579101562
2014-10-30,22.931991577148438
2014-10-31,22.939775466918945
2014-11-03,23.103242874145508
2014-11-04,22.939775466918945
2014-11-05,23.453529357910156
2014-11-06,23.06432342529297
2014-11-07,23.321197509765625
2014-11-10,23.430179595947266
2014-11-11,23.336763381958008
2014-11-12,22.963130950927734
2014-11-13,22.737388610839844
2014-11-14,22.651763916015625
2014-11-17,22.916423797607422
2014-11-18,22.9942684173584
2014-11-19,22.95534324645996
2014-11-20,22.916423797607422
2014-11-21,23.009836196899414
2014-11-24,22.82301902770996
2014-11-25,22.830801010131836
2014-11-26,22.931991577148438
2014-11-28,23.111024856567383
2014-12-01,23.11881446838379
2014-12-02,23.28227996826172
2014-12-03,23.23557472229004
2014-12-04,23.24335479736328
2014-12-05,23.087669372558594
2014-12-08,23.22779083251953
2014-12-09,23.383468627929688
2014-12-10,23.072101593017578
2014-12-11,23.297847747802734
2014-12-12,23.05653953552246
2014-12-15,22.830801010131836
2014-12-16,22.82301902770996
2014-12-17,23.24335479736328
2014-12-18,23.687053680419922
2014-12-19,23.69175148010254
2014-12-22,23.77015495300293
2014-12-23,23.832868576049805
2014-12-24,24.303258895874023
2014-12-26,24.554122924804688
2014-12-29,24.90691566467285
2014-12-30,24.373807907104492
2014-12-31,23.958301544189453
2015-01-02,24.036706924438477
2015-01-05,23.730955123901367
2015-01-06,23.723115921020508
2015-01-07,23.966144561767578
2015-01-08,24.185659408569336
2015-01-09,24.02102279663086
2015-01-12,23.99750518798828
2015-01-13,24.044544219970703
2015-01-14,24.27189826965332
2015-01-15,24.420848846435547
2015-01-16,24.64820671081543
2015-01-20,24.687410354614258
2015-01-21,24.90691566467285
2015-01-22,24.828523635864258
2015-01-23,24.899072647094727
2015-01-26,24.90691566467285
2015-01-27,24.946117401123047
2015-01-28,24.695240020751953
2015-01-29,25.008834838867188
2015-01-30,24.460052490234375
2015-02-02,24.585485458374023
2015-02-03,24.703081130981445
2015-02-04,24.358135223388672
2015-02-05,24.577648162841797
2015-02-06,23.605518341064453
2015-02-09,23.378158569335938
2015-02-10,23.84071159362793
2015-02-11,23.331125259399414
2015-02-12,23.237043380737305
2015-02-13,22.931297302246094
2015-02-17,22.876420974731445
2015-02-18,23.409521102905273
2015-02-19,23.19001007080078
2015-02-20,23.21352767944336
2015-02-23,23.35464859008789
2015-02-24,23.503602981567383
2015-02-25,23.166492462158203
2015-02-26,23.00969123840332
2015-02-27,22.986183166503906
2015-03-02,22.554988861083984
2015-03-03,22.703947067260742
2015-03-04,22.562833786010742
2015-03-05,22.719621658325195
2015-03-06,22.068923950195312
2015-03-09,22.09244155883789
2015-03-10,22.068923950195312
2015-03-11,21.94348907470703
2015-03-12,22.351160049438477
2015-03-13,22.13163948059082
2015-03-16,22.476594924926758
2015-03-17,22.46875
2015-03-18,23.056732177734375
2015-03-19,22.83721923828125
2015-03-20,23.064353942871094
2015-03-23,23.08827018737793
2015-03-24,22.833236694335938
2015-03-25,22.578205108642578
2015-03-26,22.386934280395508
2015-03-27,22.530384063720703
2015-03-30,22.833236694335938
2015-03-31,22.85714340209961
2015-04-01,22.841203689575195
2015-04-02,22.95278549194336
2015-04-06,23.19187355041504
2015-04-07,22.95278549194336
2015-04-08,22.88105583190918
2015-04-09,22.785417556762695
2015-04-10,22.960750579833984
2015-04-13,22.737594604492188
2015-04-14,22.8651180267334
2015-04-15,22.90496253967285
2015-04-16,22.76947784423828
2015-04-17,22.689781188964844
2015-04-20,23.01654052734375
2015-04-21,22.793392181396484
2015-04-22,22.849178314208984
2015-04-23,22.99263572692871
2015-04-24,23.199844360351562
2015-04-27,22.92887306213379
2015-04-28,23.08827018737793
2015-04-29,23.064353942871094
2015-04-30,22.689781188964844
2015-05-01,22.809326171875
2015-05-04,22.968721389770508
2015-05-05,22.434749603271484
2015-05-06,22.33115005493164
2015-05-07,22.402875900268555
2015-05-08,22.562265396118164
2015-05-11,22.434749603271484
2015-05-12,22.370986938476562
2015-05-13,22.195661544799805
2015-05-14,22.442720413208008
2015-05-15,22.689781188964844
2015-05-18,22.809326171875
2015-05-19,22.849178314208984
2015-05-20,22.88105583190918
2015-05-21,22.8651180267334
2015-05-22,22.841203689575195
2015-05-26,22.649938583374023
2015-05-27,22.793392181396484
2015-05-28,22.841203689575195
2015-05-29,22.76947784423828
2015-06-01,22.833236694335938
2015-06-02,22.514448165893555
2015-06-03,22.2275390625
2015-06-04,22.13190269470215
2015-06-05,21.87687110900879
2015-06-08,21.81311798095703
2015-06-09,21.74138641357422
2015-06-10,21.82108497619629
2015-06-11,21.980480194091797
2015-06-12,21.79717445373535
2015-06-15,21.733413696289062
2015-06-16,21.79717445373535
2015-06-17,22.02829360961914
2015-06-18,22.299266815185547
2015-06-19,22.11517333984375
2015-06-22,22.08301544189453
2015-06-23,21.79361343383789
2015-06-24,21.656953811645508
2015-06-25,21.512250900268555
2015-06-26,21.616758346557617
2015-06-29,21.455982208251953
2015-06-30,21.415781021118164
2015-07-01,21.464014053344727
2015-07-02,21.79361343383789
2015-07-06,21.849885940551758
2015-07-07,22.38045883178711
2015-07-08,22.259878158569336
2015-07-09,22.03478240966797
2015-07-10,22.163402557373047
2015-07-13,22.179485321044922
2015-07-14,22.15536880493164
2015-07-15,22.23575782775879
2015-07-16,22.55731201171875
2015-07-17,22.316144943237305
2015-07-20,22.195558547973633
2015-07-21,21.986549377441406
2015-07-22,22.050861358642578
2015-07-23,21.75341796875
2015-07-24,21.737342834472656
2015-07-27,21.986549377441406
2015-07-28,22.131250381469727
2015-07-29,22.2036075592041
2015-07-30,22.35634422302246
2015-07-31,22.565353393554688
2015-08-03,22.653785705566406
2015-08-04,22.28399085998535
2015-08-05,22.372419357299805
2015-08-06,22.43673324584961
2015-08-07,22.685941696166992
2015-08-10,22.613588333129883
2015-08-11,22.734172821044922
2015-08-12,23.120046615600586
2015-08-13,23.136123657226562
2015-08-14,23.329055786132812
2015-08-17,23.449636459350586
2015-08-18,23.369253158569336
2015-08-19,23.45768165588379
2015-08-20,23.272783279418945
2015-08-21,22.983381271362305
2015-08-24,22.171449661254883
2015-08-25,21.480091094970703
2015-08-26,21.849885940551758
2015-08-27,22.1392879486084
2015-08-28,22.066938400268555
2015-08-31,21.8096923828125
2015-09-01,21.26304054260254
2015-09-02,21.134418487548828
2015-09-03,21.319318771362305
2015-09-04,21.01383399963379
2015-09-08,21.423816680908203
2015-09-09,21.166574478149414
2015-09-10,21.094226837158203
2015-09-11,21.26304054260254
2015-09-14,21.34343147277832
2015-09-15,21.47205352783203
2015-09-16,21.713228225708008
2015-09-17,21.96242904663086
2015-09-18,21.848087310791016
2015-09-21,21.896747589111328
2015-09-22,21.669660568237305
2015-09-23,21.702102661132812
2015-09-24,21.864303588867188
2015-09-25,22.083269119262695
2015-09-28,21.96162223815918
2015-09-29,21.880525588989258
2015-09-30,22.359006881713867
2015-10-01,22.10759735107422
2015-10-02,22.40766716003418
2015-10-05,22.748281478881836
2015-10-06,22.561756134033203
2015-10-07,22.521207809448242
2015-10-08,22.821269989013672
2015-10-09,22.740175247192383
2015-10-12,22.902366638183594
2015-10-13,22.869932174682617
2015-10-14,22.85371208190918
2015-10-15,23.186220169067383
2015-10-16,23.23487663269043
2015-10-19,23.242984771728516
2015-10-20,23.307863235473633
2015-10-21,23.251094818115234
2015-10-22,23.51872444152832
2015-10-23,23.113231658935547
2015-10-26,23.097007751464844
2015-10-27,22.967252731323242
2015-10-28,22.780725479125977
2015-10-29,22.659072875976562
2015-10-30,22.805049896240234
2015-11-02,22.821269989013672
2015-11-03,22.86182403564453
2015-11-04,22.97536277770996
2015-11-05,22.805049896240234
2015-11-06,21.953516006469727
2015-11-09,22.03461265563965
2015-11-10,22.221141815185547
2015-11-11,22.40766716003418
2015-11-12,22.131929397583008
2015-11-13,22.04271697998047
2015-11-16,22.39144515991211
2015-11-17,22.03461265563965
2015-11-18,22.196809768676758
2015-11-19,22.399560928344727
2015-11-20,22.504985809326172
2015-11-23,22.318456649780273
2015-11-24,22.318456649780273
2015-11-25,22.229249954223633
2015-11-27,22.253578186035156
2015-11-30,22.310346603393555
2015-12-01,22.472545623779297
2015-12-02,21.994056701660156
2015-12-03,21.799423217773438
2015-12-04,22.075162887573242
2015-12-07,22.131929397583008
2015-12-08,22.10759735107422
2015-12-09,22.115711212158203
2015-12-10,21.77509117126465
2015-12-11,21.669660568237305
2015-12-14,21.75076675415039
2015-12-15,21.96162223815918
2015-12-16,22.537425994873047
2015-12-17,22.56986427307129
2015-12-18,22.343158721923828
2015-12-21,22.334972381591797
2015-12-22,22.515026092529297
2015-12-23,22.891504287719727
2015-12-24,22.89969253540039
2015-12-28,22.924243927001953
2015-12-29,23.071563720703125
2015-12-30,23.055194854736328
2015-12-31,22.826030731201172
2016-01-04,22.68690299987793
2016-01-05,22.89969253540039
2016-01-06,22.809667587280273
2016-01-07,22.637792587280273
2016-01-08,22.65416145324707
2016-01-11,22.785112380981445
2016-01-12,22.62142562866211
2016-01-13,22.58869171142578
2016-01-14,22.98153305053711
2016-01-15,22.703266143798828
2016-01-19,23.04701042175293
2016-01-20,22.55595588684082
2016-01-21,22.531391143798828
2016-01-22,22.98153305053711
2016-01-25,22.71144676208496
2016-01-26,22.932430267333984
2016-01-27,22.98972511291504
2016-01-28,23.366195678710938
2016-01-29,23.857255935668945
2016-02-01,24.11096954345703
2016-02-02,24.192813873291016
2016-02-03,24.49563217163086
2016-02-04,24.364683151245117
2016-02-05,24.413787841796875
2016-02-08,24.340133666992188
2016-02-09,24.43834686279297
2016-02-10,24.413787841796875
2016-02-11,24.00457000732422
2016-02-12,23.922731399536133
2016-02-16,24.07004737854004
2016-02-17,24.037309646606445
2016-02-18,24.413787841796875
2016-02-19,24.241920471191406
2016-02-22,24.50381851196289
2016-02-23,24.49563217163086
2016-02-24,24.65113639831543
2016-02-25,24.872114181518555
2016-02-26,24.200998306274414
2016-02-29,24.274654388427734
2016-03-01,24.16007423400879
2016-03-02,24.348316192626953
2016-03-03,24.4547119140625
2016-03-04,24.724790573120117
2016-03-07,24.880290985107422
2016-03-08,25.076717376708984
2016-03-09,25.224035263061523
2016-03-10,25.25676918029785
2016-03-11,25.289514541625977
2016-03-14,25.30588150024414
2016-03-15,25.354984283447266
2016-03-16,25.600515365600586
2016-03-17,25.87877655029297
2016-03-18,25.502307891845703
2016-03-21,25.453195571899414
2016-03-22,25.387718200683594
2016-03-23,25.567777633666992
2016-03-24,25.63325309753418
2016-03-28,25.55959129333496
2016-03-29,25.99336051940918
2016-03-30,25.919702529907227
2016-03-31,26.050655364990234
2016-04-01,26.181594848632812
2016-04-04,26.042465209960938
2016-04-05,25.55959129333496
2016-04-06,25.502307891845703
2016-04-07,25.526851654052734
2016-04-08,25.641429901123047
2016-04-11,25.543222427368164
2016-04-12,25.756010055541992
2016-04-13,25.616878509521484
2016-04-14,25.551408767700195
2016-04-15,25.747831344604492
2016-04-18,25.837860107421875
2016-04-19,25.895151138305664
2016-04-20,25.281328201293945
2016-04-21,24.757532119750977
2016-04-22,24.970321655273438
2016-04-25,25.0030574798584
2016-04-26,25.076717376708984
2016-04-27,25.379539489746094
2016-04-28,25.395906448364258
2016-04-29,25.535037994384766
2016-05-02,25.71509552001953
2016-05-03,25.6987247467041
2016-05-04,26.017913818359375
2016-05-05,25.895151138305664
2016-05-06,25.756010055541992
2016-05-09,25.919702529907227
2016-05-10,25.96062660217285
2016-05-11,26.017913818359375
2016-05-12,26.165231704711914
2016-05-13,26.034282684326172
2016-05-16,26.083389282226562
2016-05-17,25.657806396484375
2016-05-18,25.191301345825195
2016-05-19,25.42864227294922
2016-05-20,25.502307891845703
2016-05-23,25.25676918029785
2016-05-24,25.535037994384766
2016-05-25,25.469568252563477
2016-05-26,25.731464385986328
2016-05-27,25.796937942504883
2016-05-31,25.94425392150879
2016-06-01,26.042465209960938
2016-06-02,26.042465209960938
2016-06-03,26.46805191040039
2016-06-06,26.443496704101562
2016-06-07,26.41075897216797
2016-06-08,26.5908203125
2016-06-09,26.81178855895996
2016-06-10,26.705398559570312
2016-06-13,26.664474487304688
2016-06-14,26.79542350769043
2016-06-15,26.61536979675293
2016-06-16,26.79542350769043
2016-06-17,26.870494842529297
2016-06-20,26.788000106811523
2016-06-21,26.829248428344727
2016-06-22,26.713748931884766
2016-06-23,26.788000106811523
2016-06-24,26.812747955322266
2016-06-27,27.134498596191406
2016-06-28,27.241748809814453
2016-06-29,27.34075164794922
2016-06-30,27.934755325317383
2016-07-01,27.910009384155273
2016-07-05,28.09151268005371
2016-07-06,28.15751075744629
2016-07-07,27.646007537841797
2016-07-08,27.893508911132812
2016-07-11,27.88525390625
2016-07-12,27.55525779724121
2016-07-13,27.76150894165039
2016-07-14,27.596500396728516
2016-07-15,27.662506103515625
2016-07-18,27.687255859375
2016-07-19,27.654254913330078
2016-07-20,27.54700469970703
2016-07-21,27.679000854492188
2016-07-22,28.009004592895508
2016-07-25,27.97600555419922
2016-07-26,27.753259658813477
2016-07-27,27.43975257873535
2016-07-28,27.522249221801758
2016-07-29,27.720256805419922
2016-08-01,27.654254913330078
2016-08-02,27.530500411987305
2016-08-03,27.365495681762695
2016-08-04,27.324256896972656
2016-08-05,26.994251251220703
2016-08-08,26.969493865966797
2016-08-09,26.936498641967773
2016-08-10,26.952999114990234
2016-08-11,27.00249671936035
2016-08-12,27.03550148010254
2016-08-15,26.647748947143555
2016-08-16,26.3177433013916
2016-08-17,26.664243698120117
2016-08-18,27.00249671936035
2016-08-19,26.697246551513672
2016-08-22,26.771495819091797
2016-08-23,26.664243698120117
2016-08-24,26.647748947143555
2016-08-25,26.680749893188477
2016-08-26,26.16098976135254
2016-08-29,26.37549591064453
2016-08-30,26.103240966796875
2016-08-31,26.185739517211914
2016-09-01,26.06199073791504
2016-09-02,26.400243759155273
2016-09-06,26.697246551513672
2016-09-07,26.73024559020996
2016-09-08,26.820993423461914
2016-09-09,25.855735778808594
2016-09-12,26.251741409301758
2016-09-13,25.8804931640625
2016-09-14,25.962984085083008
2016-09-15,26.16924285888672
2016-09-16,26.419784545898438
2016-09-19,26.66950225830078
2016-09-20,26.652851104736328
2016-09-21,27.19390296936035
2016-09-22,27.385353088378906
2016-09-23,27.335405349731445
2016-09-26,27.28546714782715
2016-09-27,26.93586540222168
2016-09-28,26.894245147705078
2016-09-29,26.519676208496094
2016-09-30,26.328222274780273
2016-10-03,26.003597259521484
2016-10-04,25.420927047729492
2016-10-05,25.37098503112793
2016-10-06,25.37098503112793
2016-10-07,25.32936668395996
2016-10-10,25.554107666015625
2016-10-11,25.237804412841797
2016-10-12,25.504169464111328
2016-10-13,25.795503616333008
2016-10-14,25.678974151611328
2016-10-17,25.812152862548828
2016-10-18,26.03689193725586
2016-10-19,25.995269775390625
2016-10-20,25.937009811401367
2016-10-21,25.812152862548828
2016-10-24,25.912029266357422
2016-10-25,26.03689193725586
2016-10-26,26.09515953063965
2016-10-27,25.953655242919922
2016-10-28,26.04521369934082
2016-10-31,26.536317825317383
2016-11-01,26.0701904296875
2016-11-02,25.72058868408203
2016-11-03,25.82046890258789
2016-11-04,25.753883361816406
2016-11-07,26.195039749145508
2016-11-08,26.419784545898438
2016-11-09,25.537460327148438
2016-11-10,24.96312141418457
2016-11-11,24.90485382080078
2016-11-14,24.913177490234375
2016-11-15,25.30439567565918
2016-11-16,25.137922286987305
2016-11-17,25.129592895507812
2016-11-18,25.087976455688477
2016-11-21,25.37098503112793
2016-11-22,25.504169464111328
2016-11-23,25.237804412841797
2016-11-25,25.604049682617188
2016-11-28,26.078506469726562
2016-11-29,26.14510154724121
2016-11-30,25.379314422607422
2016-12-01,25.137922286987305
2016-12-02,25.32936668395996
2016-12-05,25.395959854125977
2016-12-06,25.379314422607422
2016-12-07,25.678974151611328
2016-12-08,25.795503616333008
2016-12-09,26.04521369934082
2016-12-12,26.26995849609375
2016-12-13,26.527997970581055
2016-12-14,25.995269775390625
2016-12-15,26.17840003967285
2016-12-16,26.487442016601562
2016-12-19,26.588224411010742
2016-12-20,26.59662437438965
2016-12-21,26.51263999938965
2016-12-22,26.57982063293457
2016-12-23,26.59662437438965
2016-12-27,26.588224411010742
2016-12-28,26.369871139526367
2016-12-29,26.68899917602539
2016-12-30,26.537832260131836
2017-01-03,26.479047775268555
2017-01-04,26.588224411010742
2017-01-05,26.588224411010742
2017-01-06,26.68899917602539
2017-01-09,26.302690505981445
2017-01-10,26.260698318481445
2017-01-11,26.49583625793457
2017-01-12,26.537832260131836
2017-01-13,26.51263999938965
2017-01-17,26.7813777923584
2017-01-18,26.7393856048584
2017-01-19,26.504243850708008
2017-01-20,26.563026428222656
2017-01-23,26.437055587768555
2017-01-24,26.46225357055664
2017-01-25,26.479047775268555
2017-01-26,26.504243850708008
2017-01-27,26.487442016601562
2017-01-30,26.453855514526367
2017-01-31,26.873756408691406
