Date,XLU
2013-09-27,27.281448364257812
2013-09-30,27.252286911010742
2013-10-01,27.33250617980957
2013-10-02,27.361669540405273
2013-10-03,27.040802001953125
2013-10-04,27.09185028076172
2013-10-07,26.9605712890625
2013-10-08,27.15018653869629
2013-10-09,27.25957679748535
2013-10-10,27.66794776916504
2013-10-11,27.799217224121094
2013-10-14,27.646076202392578
2013-10-15,27.25957679748535
2013-10-16,27.507518768310547
2013-10-17,27.95235824584961
2013-10-18,28.025300979614258
2013-10-21,27.966951370239258
2013-10-22,28.32427978515625
2013-10-23,28.34616470336914
2013-10-24,28.28782081604004
2013-10-25,28.58681869506836
2013-10-28,28.528478622436523
2013-10-29,28.564931869506836
2013-10-30,28.382610321044922
2013-10-31,28.28052520751953
2013-11-01,28.48472023010254
