Date,VPU
2013-09-27,60.72532653808594
2013-09-30,60.64358139038086
2013-10-01,60.85160446166992
2013-10-02,60.85905456542969
2013-10-03,60.14575958251953
2013-10-04,60.249778747558594
2013-10-07,59.95258712768555
2013-10-08,60.29435348510742
2013-10-09,60.50239562988281
2013-10-10,61.43115234375
2013-10-11,61.765499114990234
2013-10-14,61.43115234375
2013-10-15,60.56184387207031
2013-10-16,61.16366958618164
2013-10-17,62.18902587890625
2013-10-18,62.441619873046875
2013-10-21,62.270729064941406
2013-10-22,63.10292053222656
2013-10-23,63.10292053222656
2013-10-24,63.00632095336914
2013-10-25,63.73444747924805
2013-10-28,63.548702239990234
2013-10-29,63.645286560058594
2013-10-30,63.2812385559082
2013-10-31,63.06574249267578
2013-11-01,63.40009689331055
2013-11-04,63.57099151611328
